,Река,Длина (км),Водосборный бассейн (км²),Средний расход воды (м³/с),Бассейн,Страны в водосборном бассейне
89,Алазея,1590,64700,320,Восточно-Сибирское море,Россия
90,Апуре,1581,147000,2000,Ориноко,Венесуэла
91,Джубба — Веби-Шебели,1580 *,497504,127,Индийский океан,"Эфиопия, Сомали"
92,Кафуэ,1577,154829,314,Замбези,Замбия
93,Путумайо,1575,148000,8760,Амазонка,"Бразилия, Перу, Колумбия, Эквадор"
94,Уорбертон — Джорджина,1560,,,Озеро Эйр,Австралия
95,Магдалена,1550,260000,9000,Карибское море,Колумбия
96,Яна — Адыча — Нельгесе,1537 (С Сартангом 1492)[источник не указан 803 дня],238000,1021,Море Лаптевых,Россия
97,Ханьшуй,1532,175000,2000,Янцзы,КНР
98,Ломами,1500,95830,837,Конго,ДРК
99,Ока,1500,245000,1300,Волга,Россия
100,Пекос,1490,115000,8,Рио-Гранде,США
101,Маррамбиджи,1485,181630,,Муррей,Австралия
102,Годавари,1465,313000,3038,Бенгальский залив,Индия
103,Амга,1462,69300,178,Алдан,Россия
104,Или — Текес,1439,140000,480,Озеро Балхаш,"Казахстан, Китай"
105,Рио-Гранде,1438,102600,2300,Маморе,Боливия
106,Олёкма,1436[39],210000,1950,Лена,Россия
107,Белая,1430,142000,950,Кама,Россия
108,Марха — Моркока,1426 (Без Моркока 1181),99000,405,Вилюй,Россия
109,Купер-Крик — Барку,1420,297550,73,озеро Эйр,Австралия
110,Таз,1401,150000,930,Тазовская губа,Россия
111,Бенуэ,1400,441000,3170,Нигер,"Камерун, Нигерия"
112,Колорадо,1387,103341,181,Мексиканский залив,"США,Техас"
113,Уоррего,1381,69300,,Дарлинг,Австралия
114,Сатледж,1372,395000,530,Инд,"КНР, Индия, Пакистан"
115,Джамна,1370,351000,3480,Ганг,Индия
116,Вятка,1370,129000,900,Кама,Россия
117,Фрейзер,1368,233100,3475,Тихий океан,Канада
118,Кура,1364 (1515),188000,575,Каспийское море,"Азербайджан, Грузия, Армения, Турция, Иран"
119,Рио-Гранде,1360,170000,2000,Парана,Бразилия
120,Тавда — Лозьва,1356,88100,462,Тобол,Россия
121,Бразос,1352,116000,840,Мексиканский залив,"США, Техас"
122,Днестр,1352 (1411),72100,310,Чёрное Море,"Украина, Молдова"
123,Каука,1350,80000,2000,Магдалена,Колумбия
124,Ляохэ,1345,228960,302,Бохайский залив,КНР
125,Локлан,1339,90892,"41,9",Маррамбиджи,Австралия
126,Ялунцзян,1323,30000,1040,Янцзы,КНР
127,Игуасу,1320,62000,1400,Парана,"Бразилия, Аргентина"
128,Тасеева — Уда (Чуна),1319[источник не указан 803 дня],128000,752,Ангара,Россия
129,Северная Двина — Сухона,1310[40]  1803[источник не указан 803 дня] Северная Двина — Вычегда,357052,3332,Белое море,Россия
130,Араука,1300,18000,,Ориноко,Венесуэла
131,Арувими,1300,116100,,Конго,ДР Конго
132,Кришна,1300,258950,1642,Бенгальский залив,Индия
133,Ирири,1300,124300,2780,Шингу,Бразилия
134,Санга — Кадеи,1300,152000*,,Конго,"Камерун, Республика Конго,ЦАР"
135,Нармада,1289,98796,1450,Аравийское море,Индия
136,Оттава,1271,146300,1950,река Святого Лаврентия,Канада
137,Эльба — Влтава,1252,148268,711,Северное море,"Германия, Чехия"
138,Зея,1242,233000,2700,Амур,Россия
139,Журуэна,1240,190940,4360,Тапажос,Бразилия
140,Рейн,1233,185000,2330,Северное море,"Германия, Франция, Швейцария, Нидерланды, Австрия, Лихтенштейн"
141,Атабаска,1231,95300,783,Маккензи,Канада
142,Канейдиан-Ривер,1223,124000,200,Арканзас,США
143,Северный Саскачеван,1220,122800,245,Саскачеван,Канада
144,Канзас — Арикэри,1218,156000,,Миссури,США
145,Вааль,1210,196438,125,Оранжевая,ЮАР
146,Пару,1210,61000,,Дарлинг,Австралия
147,Кунене,1207[источник не указан 803 дня] 945[41],109832,174,Атлантический океан,"Ангола, Намибия"
148,Огове,1200,223856,,Гвинейский залив,"Республика Конго, Габон"
149,Шире,1200,149500,486,Замбези,"Мозамбик, Малави"
150,Нэньцзян,1190,244000,880,Сунгари,КНР
151,Грин-Ривер,1175,124578,173,Колорадо,США
152,Милк-Ривер,1173,61642,17,Миссури,"США, Канада"
153,Демьянка,1160,34 800,156,Иртыш,Россия
154,Чиндуин,1158,114000,4000,Иравади,Мьянма
155,Кызылырмак (Галис),1151,77130,,Чёрное море,Турция
156,Санкуру,1150,,,Кассаи,ДРК
157,Омолон,1150,119000,680,Колыма,Россия
158,Джеймс,1143,,,Миссури,США
159,Капуас,1143,,,Южно-Китайское море,Индонезия
160,Рио-Негро — Лимай,1135,132275,1014,Атлантический океан,Аргентина
161,Десна,1130,88900,360,Днепр,"Россия, Украина"
162,Гильменд,1130,,,Хамун,"Афганистан, Иран"
163,Мадре-де-Дьос(Амарумаю),1130,,,Мадейра,"Перу, Боливия"
164,Тиете,1130,,,Парана,Бразилия
165,Вычегда,1130,121000,1160,Северная Двина,Россия
166,Омь — Ича,1129,526000,64,Иртыш,Россия
167,Сепик,1126,77700,,Тихий океан,"Папуа-Новая Гвинея, Индонезия"
168,Симаррон,1123,,,Арканзас,США
169,Анадырь,1120,,,Анадырский залив,Россия
170,Атбара,1120,150000*,,Нил,"Судан, Эфиопия"
171,Цзялинцзян,1119,,,Янцзы,КНР
172,Лиард,1115,,,Маккензи,Канада
173,Камберленд,1106,46830,774,Огайо,США
174,Уайт-Ривер,1102,,,Миссисипи,США
175,Арипуанан,1100,146300,,Мадейра,Бразилия
176,Уальяга,1100,,,Мараньон,Перу
177,Кванго,1100,263500,2700,Кассаи,"Ангола, ДРК"
178,Конда,1097[42]  1306[источник не указан 803 дня] Конда — Мулымья,72800,342,Иртыш,Россия
179,Гамбия,1094,,,Атлантический океан,"Гамбия, Сенегал, Гвинея"
180,Тюнг,1092,49800,180,Вилюй,Россия
181,Омь,1091[43],52 600,61,Иртыш,Россия
182,Чинаб,1086,,,Инд,"Индия, Пакистан"
183,Васюган,1082,62000,381,Обь,Россия
184,Йеллоустон,1080,,,Миссури,США
185,Аракс,1072,102 000,285,Кура,"Армения, Азербайджан, Иран, Турция"
186,Чу,1067,62500,,нет,"Киргизия, Казахстан"
187,Большой Юган,1063,34700,178,Обь,Россия
188,Мая,1053,172000,1180,Алдан,Россия
189,Северский Донец,1053,98900,160,Дон,"Украина, Россия"
190,Бермехо,1050,,,Парагвай,"Аргентина, Боливия"
191,Флай,1050,,,залив Папуа,"Папуа-Новая Гвинея, Индонезия"
192,Гуавьяре,1050,,,Ориноко,Колумбия
193,Кускокуим,1050,,,Берингово море,США
194,Теннесси,1049,,,Огайо,США
195,Тура,1030,,,Тобол,Россия
196,Селенга,1024,,,,Россия/Монголия
197,Западная Двина,1020,87 900,678,Рижский залив,"Латвия, Беларусь, Россия"
198,Хила,1015,,,Колорадо,США
199,Висла,1014,,,Балтийское море,"Польша, Украина, Беларусь"
200,Луара,1012,,,Атлантический океан,Франция
201,Бирюса,1012,55800,"349,7",Тасеева,Россия
202,Вах — Малый Вах,1011,76700,536,Обь,Россия
203,Эссекибо,1010,,,Атлантический океан,Гайана
204,Тахо(Тежу),1006,,,Атлантический океан,"Испания, Португалия"
205,Флиндерс,1004,109708,,"Карпентария, Арафурское море",Австралия
206,Рио-Колорадо,1000,,,Атлантический океан,Аргентина
